,vacancy_name,vacancy_link,min_salary,max_salary,currency
142,Team Lead (Применение моделей),https://kazan.hh.ru/vacancy/76350190?from=vacancy_search_list&query=data+scientist,0,0,
143,Senior C++ Developer,https://kazan.hh.ru/vacancy/75837956?from=vacancy_search_list&query=data+scientist,0,0,
144,Старший менеджер продукта Supply/Demand,https://kazan.hh.ru/vacancy/76987830?from=vacancy_search_list&query=data+scientist,0,0,
145,Team Lead/Senior developer ML,https://kazan.hh.ru/vacancy/76145269?from=vacancy_search_list&query=data+scientist,0,0,
146,Старший инженер по внедрению (SberWorks),https://kazan.hh.ru/vacancy/76881257?from=vacancy_search_list&query=data+scientist,0,0,
147,Управляющий директор \ Data Scientist (Сопровождение процесса разработки и использования моделей),https://kazan.hh.ru/vacancy/68330853?from=vacancy_search_list&query=data+scientist,0,0,
148,Инженер данных,https://kazan.hh.ru/vacancy/75640167?from=vacancy_search_list&query=data+scientist,0,0,
149,Инженер данных (Data Engineer),https://kazan.hh.ru/vacancy/76789901?from=vacancy_search_list&query=data+scientist,0,0,
150,Руководитель проектов (Data Office),https://kazan.hh.ru/vacancy/76772401?from=vacancy_search_list&query=data+scientist,0,0,
151,Senior Python разработчик,https://kazan.hh.ru/vacancy/76697648?from=vacancy_search_list&query=data+scientist,0,0,
152,Senior/Middle Java Developer,https://kazan.hh.ru/vacancy/76796572?from=vacancy_search_list&query=data+scientist,250000,350000,руб.
153,Frontend Developer (Vue),https://kazan.hh.ru/vacancy/76810414?from=vacancy_search_list&query=data+scientist,180000,0,руб.
154,Системный аналитик в команду сбора статистики,https://kazan.hh.ru/vacancy/75783683?from=vacancy_search_list&query=data+scientist,0,0,
155,Системный аналитик в команду сбора статистики,https://kazan.hh.ru/vacancy/75783684?from=vacancy_search_list&query=data+scientist,0,0,
156,Системный аналитик в команду сбора статистики,https://kazan.hh.ru/vacancy/75783682?from=vacancy_search_list&query=data+scientist,0,0,
157,Data engineer (middle),https://kazan.hh.ru/vacancy/76715247?from=vacancy_search_list&query=data+scientist,0,0,
158,Data Engineer,https://kazan.hh.ru/vacancy/76717696?from=vacancy_search_list&query=data+scientist,0,0,
159,DevOps/Инфраструктурный инженер,https://kazan.hh.ru/vacancy/76760486?from=vacancy_search_list&query=data+scientist,0,0,
160,"C#, .Net Core developer (американская компания)",https://kazan.hh.ru/vacancy/76290791?from=vacancy_search_list&query=data+scientist,0,7000,USD
161,Senior Data Scientist (WAF),https://kazan.hh.ru/vacancy/74252169?from=vacancy_search_list&query=data+scientist,0,0,
162,Senior Data Scientist (WAF),https://kazan.hh.ru/vacancy/74252167?from=vacancy_search_list&query=data+scientist,0,0,
163,Team Lead Fraud Analyst,https://kazan.hh.ru/vacancy/75641735?from=vacancy_search_list&query=data+scientist,0,0,
164,Team Lead Fraud Analyst,https://kazan.hh.ru/vacancy/75641763?from=vacancy_search_list&query=data+scientist,0,0,
165,Software Developer,https://kazan.hh.ru/vacancy/76163821?from=vacancy_search_list&query=data+scientist,3000,4000,EUR
